house_id	housedel_id	house_code	standard_id	city_code	bizcircle_code	resblock_id	resblock_name	building_id	building_no	floor_name	floor_ftr	bedroom_amount	parlor_amount	toilet_amount	cookroom_amount	build_size	face_code	face_ftr	face_ftr_new	build_end_year	build_end_year_ftr	build_end_year_ftr_new	is_sales_tax_ftr	is_sole_ftr	property_fee_ptr	distance_metor_code_ftr	is_school_district_ftr	fitment_type_code	fitment_ftr	total_floor_ftr	floor_scale	dealdate	dealdate_ftr	dealdate_ftr_new	realmoney	realmoney_wan	scale	uscale	balcony_amount_ftr	frame_structure	frame_structure_ftr	garden_amount_ftr	terrace_amount_ftr	balcony_area_ftr
13021476	218249292	BJCY89173217	1115031573927	110000	18335713	1111027374303	富力又一城C区	1112027401268	5	22	22	2	1	1	1	88.0	100500000005;100500000007	0	0	2010	70	-5	3	0	2.2	5	1	112100000004	3	23	0.95652173913	20150609	185	1	2200000.0	220.0	1.00491492955	1.00491492955	1	304400000001	1	0	0	0.0
12806781	213541627	BJCY84464538	1115042289058	110000	18335713	1111027374303	富力又一城C区	1112041566913	15	3	3	2	2	1	1	89.0	100500000005;100500000007	0	0	2011	71	-4	1	0	2.2	3	1	112100000004	3	27	0.111111111111	20120622	149	37	1600000.0	160.0	1.43668689371	1.43668689371	1	304400000001	1	0	0	0.0
13140664	213760781	BJCY84683692	1115030864391	110000	18335713	1111027374303	富力又一城C区	1112027425772	9	17	17	2	2	1	1	88.81	100500000005;100500000007	0	0	2009	69	-6	1	0	2.2	0	0	112100000004	3	18	0.944444444444	20120707	150	36	1700000.0	170.0	1.50800435955	1.50800435955	1	304400000001	1	0	0	0.0
15051392	217728521	BJCY88652692	1115030583906	110000	18335713	1111027374303	富力又一城C区	1112027401268	5	15	15	2	2	1	1	87.0	100500000001;100500000007;	0	0	2011	71	-4	1	0	2.2	5	1	112100000004	3	23	0.652173913043	20150308	182	4	2310000.0	231.0	1.08524116776	1.08524116776	1	304400000001	1	0	0	0.0
4907526	214321746	BJCY85248657	1115030641073	110000	18335713	1111027374303	富力又一城C区	1112027403608	6	15	15	2	2	1	1	88.0	100500000003;100500000005	0	2.0	2010	70	-5	1	0	2.2	0	0	112100000004	3	23	0.652173913043	20130330	158	28	2410000.0	241.0	1.1034840763	1.1034840763	1	304400000001	1	0	0	0.0
12883205	215322254	BJCY86249237	1115030671385	110000	18335713	1111027374303	富力又一城C区	1112027394775	2	15	15	2	1	1	1	86.7	100500000005;100500000007	0	0	2010	70	-5	1	1	2.2	0	0	112100000004	3	23	0.652173913043	20130913	164	22	2300000.0	230.0	1.03462126446	1.03462126446	1	304400000001	1	0	0	0.0
13784653	217824552	BJCY88748654	1115031558644	110000	18335713	1111027374303	富力又一城C区	1112027403608	6	23	23	2	2	1	1	88.0	100500000001;100500000003	0	2.0	2010	70	-5	1	1	2.2	4	0	112100000004	3	23	0.5	20150107	180	6	2650000.0	265.0	1.0547133647	1.0547133647	1	304400000001	1	0	0	0.0
4927440	218225156	BJCY89149081	1115030852448	110000	18335713	1111027374303	富力又一城C区	1112027407800	7	18	18	2	2	1	1	89.49	100500000001;100500000003	0	2.0	2009	69	-6	0	0	2.2	1	1	112100000004	3	27	0.666666666667	20150406	183	3	2400000.0	240.0	1.03059862492	1.03059862492	1	304400000001	1	0	0	0.0
4786586	200149468	BJCY00354122	1115031853208	110000	18335713	1111027374303	富力又一城C区	1112027394775	2	25	25	2	2	1	1	86.37	100500000005;100500000007	0	0	2009	69	-6	1	0	2.2	0	0	112100000004	3	23	1.08695652174	20111022	141	45	1540000.0	154.0	1.38693730355	1.38693730355	1	304400000001	1	0	0	0.0
12935982	213447547	BJCY84370458	1115032247208	110000	18335713	1111027374303	富力又一城C区	1112027399367	4	3	3	2	2	1	1	90.0	100500000003	0	2.0	2009	69	-6	0	0	2.2	0	0	112100000004	3	18	0.166666666667	20120607	149	37	1810000.0	181.0	1.43668689371	1.43668689371	1	304400000001	1	0	0	0.0
15507961	218687982	BJCY89611874	1115034293362	110000	18335713	1111027374303	富力又一城C区	1112027425772	9	9	9	2	2	1	1	90.01	100500000003;	0	2.0	2011	71	-4	3	0	2.2	2	1	112100000004	3	18	0.5	20150807	187	-1	2650000.0	265.0	0.994858281885	0.994858281885	1	304400000001	1	0	0	0.0
15009694	217615611	BJCY88539773	1115053987816	110000	18335713	1111027374303	富力又一城C区	1112046913402	18	7	7	1	0	1	1	55.0	100500000001	0	1.0	2010	70	-5	0	1	4.5	4	0	NULL	3	19	0.368421052632	20141129	178	8	1120000.0	112.0	1.01054569457	1.01054569457	0	NULL	1	0	0	0
12891264	218585499	BJCY89509425	1115042289033	110000	18335713	1111027374303	富力又一城C区	1112041566913	15	9	9	2	1	1	1	88.88	100500000005;100500000007	0	0	2005	65	-10	3	1	2.2	4	1	112100000004	3	27	0.333333333333	20150628	185	1	2335000.0	233.5	1.00491492955	1.00491492955	1	304400000001	1	0	0	0.0
13239266	214202094	BJCY85129005	1115029934250	110000	18335713	1111027374303	富力又一城C区	1112027438401	12	1	1	2	2	1	1	76.0	100500000005;100500000007	0	0	2011	71	-4	1	0	2.2	0	0	112100000004	3	23	0.1	20130414	159	27	1930000.0	193.0	1.08437636258	1.08437636258	1	304400000001	1	0	0	0.0
14235780	216138584	BJCY87065565	1115033867473	110000	18335713	1111027374303	富力又一城C区	1112027439136	13	6	6	2	1	1	1	88.14	100500000003;100500000007	0	3.0	2005	65	-10	0	0	2.2	0	0	112100000002	2	18	0.333333333333	20140125	168	18	2700000.0	270.0	0.992871066234	0.992871066234	1	304400000001	1	0	0	0.0
14073088	215375855	BJCY86302838	1115053762183	110000	18335713	1111027374303	富力又一城C区	1112027438401	12	27	27	2	2	1	1	86.21	100500000001;100500000007	0	0	2011	71	-4	1	1	2.2	0	0	112100000004	3	23	1.17391304348	20130910	164	22	2499999.0	249.9999	1.03462126446	1.03462126446	0	NULL	1	0	0	0
4923233	214512880	BJCY85439759	1115031442874	110000	18335713	1111027374303	富力又一城C区	1112027439136	13	21	21	2	2	1	1	89.0	100500000003;100500000007	0	3.0	2010	70	-5	1	0	2.2	0	0	112100000004	3	18	1.16666666667	20130305	158	28	2100000.0	210.0	1.1034840763	1.1034840763	1	304400000001	1	0	0	0.0
12958324	218569600	BJCY89493526	1115042697593	110000	18335713	1111027374303	富力又一城C区	1112041800386	16	12	12	2	2	1	1	89.0	100500000003	0	2.0	2011	71	-4	3	0	2.2	4	1	112100000004	3	22	0.545454545455	20150527	184	2	2495000.0	249.5	1.02198250286	1.02198250286	1	304400000001	1	0	0	0.0
14696986	216937864	BJCY87862026	1115030221941	110000	18335713	1111027374303	富力又一城C区	1112027425772	9	12	12	3	2	3	1	155.32	100500000003;100500000007;	0	3.0	2011	71	-4	1	0	2.2	4	1	112100000004	3	18	0.666666666667	20140816	175	11	4400000.0	440.0	0.987954984839	0.987954984839	2	304400000001	1	0	0	0.0
13114045	214529753	BJCY85456631	1115030788213	110000	18335713	1111027374303	富力又一城C区	1112027429261	11	16	16	2	2	1	1	90.0	100500000003;100500000007	0	3.0	2010	70	-5	1	0	2.2	0	0	112100000004	3	18	0.888888888889	20130329	158	28	2100000.0	210.0	1.1034840763	1.1034840763	1	304400000001	1	0	0	0.0
13279259	213979564	BJCY84902475	1115031657915	110000	18335713	1111027374303	富力又一城C区	1112027397071	3	26	26	2	2	1	1	91.3	100500000003;100500000007	0	3.0	2010	70	-5	3	0	2.2	4	1	112100000004	3	22	1.18181818182	20120911	152	34	1950000.0	195.0	1.38275042191	1.38275042191	1	304400000001	1	0	0	0.0
14200869	218781278	BJCY89705130	1115033124080	110000	18335713	1111027374303	富力又一城C区	1112027394775	2	5	5	2	1	1	1	86.0	100500000001	0	1.0	2005	65	-10	0	0	2.2	4	1	112100000004	3	23	0.217391304348	20150721	186	0	2280000.0	228.0	1.0	1.0	1	304400000001	1	0	0	0.0
14988238	218426510	BJCY89350436	1115053987829	110000	18335713	1111027374303	富力又一城C区	1112046913402	18	6	6	3	2	1	1	128.0	100500000008	0	2.0	2010	70	-5	0	0	4.5	6	0	NULL	3	19	0.315789473684	20150503	184	2	2800000.0	280.0	1.02198250286	1.02198250286	0	NULL	1	0	0	0
13752929	216939475	BJCY87863637	1115031009744	110000	18335713	1111027374303	富力又一城C区	1112027429261	11	18	18	1	0	1	1	47.32	100500000003	0	2.0	2010	70	-5	0	1	2.2	4	0	112100000004	3	18	0.5	20141109	178	8	1315000.0	131.5	1.01054569457	1.01054569457	1	304400000001	1	0	0	0.0
14446420	216206489	BJCY87133466	1115041135839	110000	18335713	1111027374303	富力又一城C区	1112027425772	9	7	7	2	2	1	1	90.6	100500000003	0	2.0	2011	71	-4	1	1	2.2	1	1	NULL	3	18	0.388888888889	20140223	169	17	3150000.0	315.0	0.899306650908	0.899306650908	1	304400000001	1	0	0	0.0
12820251	217315368	BJCY88239530	1115031025589	110000	18335713	1111027374303	富力又一城C区	1112027449291	14	19	19	3	2	3	1	166.26	100500000003;100500000007	0	3.0	2010	70	-5	1	0	2.2	4	1	112100000004	3	23	0.826086956522	20150505	184	2	4100000.0	410.0	1.02198250286	1.02198250286	2	304400000001	1	0	0	0.0
13186301	214642643	BJCY85569616	1115034048628	110000	18335713	1111027374303	富力又一城C区	1112027429261	11	8	8	2	2	1	1	89.83	100500000003;100500000007	0	3.0	2010	70	-5	1	0	2.2	0	0	112100000004	3	18	0.444444444444	20130324	158	28	2240000.0	224.0	1.1034840763	1.1034840763	1	304400000001	1	0	0	0.0
